Service ID,Nom du service,Prix,Catégorie,Sous-catégorie,Division,Durée (min)
S001,SOIN ÉCLAT DES MAINS,"55,00 $",ESTHETICA SPA  ONGLES,LES SOINS ESSENTIELS DE LUXE,Esthetica Spa,120
S002,SOIN CILS SIGNATURE,"150,00 $",ESTHETICA SPA CILS,LES SOINS ESSENTIELS DE LUXE,Esthetica Spa,120
S003,SOIN CILS SIGNATURE RETOUCHE,"60,00 $",ESTHETICA SPA CILS,LES SOINS ESSENTIELS DE LUXE,Esthetica Spa,60
S004,AINES IPL 1 TRAITEMENT,"80,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,15
S005,AINES IPL FORFAIT 3 TRAITEMENTS,"200,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,
S006,AISSELLES IPL 1 TRAITEMENT,"75,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,15
S007,AISSELLES IPL FORFAIT 3 TRAITEMENTS,"190,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,
S008,DOS+TORSE IPL 1 TRAITEMENT,"585,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,90
S009,DOS+TORSE IPL FORFAIT 3 TRAITEMENTS,"1 520,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,
S010,DOS/TORSE IPL 1 TRAIMETENT,"380,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,60
S011,DOS/TORSE IPL FORFAIT 3 TRAITEMENTS,"990,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,
S012,FAVORIS IPL 1 TRAITEMENT,"130,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,15
S013,FAVORIS IPL FORFAIT 3 TRAITEMENTS,"340,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,
S014,INTEGRALE IPL 1 TRAITEMENT,"130,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,30
S015,INTEGRALE IPL FORFAIT 3 TRAITEMENTS,"340,00 $",ESTHETICA SPA IPL,ÉPILATION LUMIERE PULSÉE,Esthetica Spa,
